sourcePack,recordPointer,frequencyHz,meanDb,standardDeviationDb,apvDb,automaticApplicationAllowed
research-peltor.json,/variants/0/attenuation,125,14.5,3.0,,False
research-peltor.json,/variants/0/attenuation,250,17.7,2.9,,False
research-peltor.json,/variants/0/attenuation,500,26.3,2.8,,False
research-peltor.json,/variants/0/attenuation,1000,31.3,2.6,,False
research-peltor.json,/variants/0/attenuation,2000,29.8,3.2,,False
research-peltor.json,/variants/0/attenuation,3150,36.7,2.7,,False
research-peltor.json,/variants/0/attenuation,4000,35.1,2.5,,False
research-peltor.json,/variants/0/attenuation,6300,37.5,2.8,,False
research-peltor.json,/variants/0/attenuation,8000,35.4,3.0,,False
research-peltor.json,/variants/1/attenuation,125,12.1,4.3,7.8,False
research-peltor.json,/variants/1/attenuation,250,17.9,3.1,14.8,False
research-peltor.json,/variants/1/attenuation,500,27.0,3.8,23.2,False
research-peltor.json,/variants/1/attenuation,1000,26.8,3.0,23.8,False
research-peltor.json,/variants/1/attenuation,2000,30.5,3.0,27.5,False
research-peltor.json,/variants/1/attenuation,4000,38.3,3.7,34.6,False
research-peltor.json,/variants/1/attenuation,8000,36.4,5.4,31.0,False
research-peltor.json,/variants/2/attenuation_options/0,125,28.6,5.3,23.3,False
research-peltor.json,/variants/2/attenuation_options/0,250,27.0,6.0,21.0,False
research-peltor.json,/variants/2/attenuation_options/0,500,30.3,6.0,24.4,False
research-peltor.json,/variants/2/attenuation_options/0,1000,29.2,5.4,23.8,False
research-peltor.json,/variants/2/attenuation_options/0,2000,30.9,3.4,27.4,False
research-peltor.json,/variants/2/attenuation_options/0,4000,31.6,6.6,25.1,False
research-peltor.json,/variants/2/attenuation_options/0,8000,32.0,4.5,27.6,False
research-peltor.json,/variants/2/attenuation_options/1,125,31.0,4.9,26.1,False
research-peltor.json,/variants/2/attenuation_options/1,250,29.5,4.6,24.9,False
research-peltor.json,/variants/2/attenuation_options/1,500,31.4,5.2,26.3,False
research-peltor.json,/variants/2/attenuation_options/1,1000,33.9,5.5,28.4,False
research-peltor.json,/variants/2/attenuation_options/1,2000,33.7,3.6,30.1,False
research-peltor.json,/variants/2/attenuation_options/1,4000,40.0,2.5,37.4,False
research-peltor.json,/variants/2/attenuation_options/1,8000,42.4,3.4,38.9,False
research-peltor.json,/variants/3/attenuation_options/0,125,11.5,2.5,9.0,False
research-peltor.json,/variants/3/attenuation_options/0,250,17.9,2.7,15.3,False
research-peltor.json,/variants/3/attenuation_options/0,500,27.8,1.8,25.9,False
research-peltor.json,/variants/3/attenuation_options/0,1000,30.0,2.3,27.7,False
research-peltor.json,/variants/3/attenuation_options/0,2000,32.1,3.0,29.1,False
research-peltor.json,/variants/3/attenuation_options/0,4000,36.2,2.0,34.2,False
research-peltor.json,/variants/3/attenuation_options/0,8000,40.3,3.1,37.2,False
research-peltor.json,/variants/3/attenuation_options/1,125,16.6,1.8,14.8,False
research-peltor.json,/variants/3/attenuation_options/1,250,16.8,2.3,14.5,False
research-peltor.json,/variants/3/attenuation_options/1,500,27.4,2.2,25.2,False
research-peltor.json,/variants/3/attenuation_options/1,1000,32.1,2.1,30.0,False
research-peltor.json,/variants/3/attenuation_options/1,2000,33.1,3.2,29.9,False
research-peltor.json,/variants/3/attenuation_options/1,4000,33.0,2.9,30.1,False
research-peltor.json,/variants/3/attenuation_options/1,8000,36.1,3.2,32.9,False
research-peltor.json,/variants/4/attenuation_options/0,125,11.6,2.3,9.3,False
research-peltor.json,/variants/4/attenuation_options/0,250,17.6,2.1,15.5,False
research-peltor.json,/variants/4/attenuation_options/0,500,30.5,2.9,27.6,False
research-peltor.json,/variants/4/attenuation_options/0,1000,29.7,2.3,27.4,False
research-peltor.json,/variants/4/attenuation_options/0,2000,29.4,3.2,26.2,False
research-peltor.json,/variants/4/attenuation_options/0,4000,32.8,2.1,30.7,False
research-peltor.json,/variants/4/attenuation_options/0,8000,38.3,4.8,33.5,False
research-peltor.json,/variants/4/attenuation_options/1,125,15.1,3.4,11.7,False
research-peltor.json,/variants/4/attenuation_options/1,250,18.2,3.0,15.2,False
research-peltor.json,/variants/4/attenuation_options/1,500,26.2,2.2,24.0,False
research-peltor.json,/variants/4/attenuation_options/1,1000,32.2,2.5,29.7,False
research-peltor.json,/variants/4/attenuation_options/1,2000,30.4,3.7,26.7,False
research-peltor.json,/variants/4/attenuation_options/1,4000,29.3,3.7,25.6,False
research-peltor.json,/variants/4/attenuation_options/1,8000,36.7,4.0,32.7,False
research-peltor.json,/variants/4/attenuation_options/2,125,31.8,8.6,23.2,False
research-peltor.json,/variants/4/attenuation_options/2,250,39.5,9.3,30.2,False
research-peltor.json,/variants/4/attenuation_options/2,500,52.5,8.2,44.3,False
research-peltor.json,/variants/4/attenuation_options/2,1000,43.8,5.1,38.8,False
research-peltor.json,/variants/4/attenuation_options/2,2000,40.8,5.0,35.8,False
research-peltor.json,/variants/4/attenuation_options/2,4000,50.8,3.1,47.7,False
research-peltor.json,/variants/4/attenuation_options/2,8000,46.4,3.9,42.5,False
research-peltor.json,/variants/5/attenuation_options/0,125,35.0,4.6,,False
research-peltor.json,/variants/5/attenuation_options/0,250,31.8,4.2,,False
research-peltor.json,/variants/5/attenuation_options/0,500,37.4,5.2,,False
research-peltor.json,/variants/5/attenuation_options/0,1000,37.4,5.1,,False
research-peltor.json,/variants/5/attenuation_options/0,2000,36.0,3.3,,False
research-peltor.json,/variants/5/attenuation_options/0,3150,39.2,4.9,,False
research-peltor.json,/variants/5/attenuation_options/0,4000,40.4,4.8,,False
research-peltor.json,/variants/5/attenuation_options/0,6300,44.9,3.6,,False
research-peltor.json,/variants/5/attenuation_options/0,8000,45.8,2.9,,False
research-peltor.json,/variants/5/attenuation_options/1,125,35.7,5.4,,False
research-peltor.json,/variants/5/attenuation_options/1,250,35.0,5.2,,False
research-peltor.json,/variants/5/attenuation_options/1,500,40.7,5.4,,False
research-peltor.json,/variants/5/attenuation_options/1,1000,39.0,3.9,,False
research-peltor.json,/variants/5/attenuation_options/1,2000,38.3,2.5,,False
research-peltor.json,/variants/5/attenuation_options/1,3150,41.7,4.4,,False
research-peltor.json,/variants/5/attenuation_options/1,4000,41.4,3.7,,False
research-peltor.json,/variants/5/attenuation_options/1,6300,44.0,4.1,,False
research-peltor.json,/variants/5/attenuation_options/1,8000,45.9,4.1,,False
research-peltor.json,/variants/5/attenuation_options/2,125,34.3,6.1,,False
research-peltor.json,/variants/5/attenuation_options/2,250,31.9,6.1,,False
research-peltor.json,/variants/5/attenuation_options/2,500,35.2,6.1,,False
research-peltor.json,/variants/5/attenuation_options/2,1000,34.1,5.2,,False
research-peltor.json,/variants/5/attenuation_options/2,2000,34.5,4.8,,False
research-peltor.json,/variants/5/attenuation_options/2,3150,38.6,4.4,,False
research-peltor.json,/variants/5/attenuation_options/2,4000,35.5,3.9,,False
research-peltor.json,/variants/5/attenuation_options/2,6300,38.2,3.9,,False
research-peltor.json,/variants/5/attenuation_options/2,8000,39.3,3.0,,False
research-peltor.json,/variants/6/attenuation,125,38.1,,,False
research-peltor.json,/variants/6/attenuation,250,35.5,,,False
research-peltor.json,/variants/6/attenuation,500,40.7,,,False
research-peltor.json,/variants/6/attenuation,1000,40.9,,,False
